"Invoice,StockCode,Description,Quantity,InvoiceDate,Price,Customer ID,Country,TotalPrice,Year,Month,MonthYear"
"534008,72351A,SET/6 TURQUOISE BUTTERFLY T-LIGHTS,12,2010-11-19 14:29:00,2.1,12978,United Kingdom,25.200000000000003,2010,2010-11,2010-11-01"
"508503,47599A,PINK PARTY BAGS,1,2010-05-16 15:52:00,2.1,14982,United Kingdom,2.1,2010,2010-05,2010-05-01"
"508082,21931,JUMBO STORAGE BAG SUKI,200,2010-05-12 16:43:00,1.65,12482,Sweden,330.0,2010,2010-05,2010-05-01"
"521182,72780,BLACK SILOUETTE CANDLE PLATE,24,2010-09-02 16:14:00,0.72,14298,United Kingdom,17.28,2010,2010-09,2010-09-01"
"524833,22197,SMALL POPCORN HOLDER,12,2010-09-30 17:18:00,0.85,17581,United Kingdom,10.2,2010,2010-09,2010-09-01"
"511089,15058C,ICE CREAM DESIGN GARDEN PARASOL,1,2010-06-06 15:03:00,7.95,15005,United Kingdom,7.95,2010,2010-06,2010-06-01"
"523120,35970,ZINC FOLKART SLEIGH BELLS,24,2010-09-20 13:08:00,1.69,15803,United Kingdom,40.56,2010,2010-09,2010-09-01"
"508487,85099F,JUMBO BAG STRAWBERRY,3,2010-05-16 13:10:00,1.95,18039,United Kingdom,5.85,2010,2010-05,2010-05-01"
"513458,48185,DOOR MAT FAIRY CAKE,1,2010-06-24 15:45:00,7.49,15768,United Kingdom,7.49,2010,2010-06,2010-06-01"
"508487,21012,ANTIQUE ALL GLASS CANDLESTICK,2,2010-05-16 13:10:00,2.1,18039,United Kingdom,4.2,2010,2010-05,2010-05-01"
"517549,84997B,RED 3 PIECE MINI DOTS CUTLERY SET,1,2010-07-29 17:30:00,3.75,16782,United Kingdom,3.75,2010,2010-07,2010-07-01"
"522098,21535,RED RETROSPOT SMALL MILK JUG,6,2010-09-12 13:51:00,2.55,16320,Unspecified,15.3,2010,2010-09,2010-09-01"
"533127,22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,6,2010-11-16 12:46:00,2.95,13611,United Kingdom,17.700000000000003,2010,2010-11,2010-11-01"
"517963,22623,BOX OF VINTAGE JIGSAW BLOCKS,3,2010-08-03 12:49:00,4.95,14001,United Kingdom,14.85,2010,2010-08,2010-08-01"
"526462,22526,WHEELBARROW FOR CHILDREN,2,2010-10-11 16:14:00,12.75,15024,United Kingdom,25.5,2010,2010-10,2010-10-01"
"537421,85049A,TRADITIONAL CHRISTMAS RIBBONS,1,2010-12-06 15:25:00,1.25,17218,United Kingdom,1.25,2010,2010-12,2010-12-01"
"511287,85150,LADIES & GENTLEMEN METAL SIGN,3,2010-06-07 14:47:00,2.55,14514,United Kingdom,7.649999999999999,2010,2010-06,2010-06-01"
"520540,21754,HOME BUILDING BLOCK WORD,2,2010-08-26 16:00:00,5.95,16011,United Kingdom,11.9,2010,2010-08,2010-08-01"
"507586,22382,LUNCH BAG SPACEBOY DESIGN,10,2010-05-10 12:42:00,1.65,17841,United Kingdom,16.5,2010,2010-05,2010-05-01"
"521958,POST,POSTAGE,2,2010-09-09 18:14:00,18.0,12708,Germany,36.0,2010,2010-09,2010-09-01"
"533767,22818,CARD CHRISTMAS VILLAGE,24,2010-11-18 15:29:00,0.42,18225,United Kingdom,10.08,2010,2010-11,2010-11-01"
"511284,47556B,TEA TIME TEA TOWELS,4,2010-06-07 14:39:00,2.95,14467,United Kingdom,11.8,2010,2010-06,2010-06-01"
"516452,72760B,VINTAGE CREAM 3 BASKET CAKE STAND,2,2010-07-20 13:17:00,9.95,13154,United Kingdom,19.9,2010,2010-07,2010-07-01"
"534501,21411,GINGHAM HEART  DOORSTOP RED,4,2010-11-23 11:26:00,4.25,18055,United Kingdom,17.0,2010,2010-11,2010-11-01"
"514872,21506,""FANCY FONT BIRTHDAY CARD,"",12,2010-07-07 10:25:00,0.42,16186,United Kingdom,5.04,2010,2010-07,2010-07-01"
"502758,22352,LUNCHBOX WITH CUTLERY RETROSPOT,60,2010-03-26 13:45:00,2.1,14646,Netherlands,126.0,2010,2010-03,2010-03-01"
"531580,22751,FELTCRAFT PRINCESS OLIVIA DOLL,2,2010-11-09 10:59:00,3.75,17811,United Kingdom,7.5,2010,2010-11,2010-11-01"
"517360,82581,TOILET METAL SIGN,12,2010-07-28 16:17:00,0.55,14739,United Kingdom,6.6000000000000005,2010,2010-07,2010-07-01"
"533598,84992,72 SWEETHEART FAIRY CAKE CASES,2,2010-11-18 12:22:00,0.55,17811,United Kingdom,1.1,2010,2010-11,2010-11-01"
"503972,20992,JAZZ HEARTS PURSE NOTEBOOK,1,2010-04-08 17:44:00,0.85,17180,United Kingdom,0.85,2010,2010-04,2010-04-01"
"504850,21926,RED/CREAM STRIPE CUSHION COVER,40,2010-04-18 10:13:00,1.06,14134,United Kingdom,42.400000000000006,2010,2010-04,2010-04-01"
"525308,84031A,CHARLIE+LOLA RED HOT WATER BOTTLE,3,2010-10-05 10:23:00,4.65,12644,Germany,13.95,2010,2010-10,2010-10-01"
"522579,22310,IVORY KNITTED MUG COSY,1,2010-09-15 12:11:00,1.65,17905,United Kingdom,1.65,2010,2010-09,2010-09-01"
"521150,21928,JUMBO BAG SCANDINAVIAN PAISLEY,10,2010-09-02 13:33:00,1.95,13564,United Kingdom,19.5,2010,2010-09,2010-09-01"
"507210,21718,RED METAL BEACH SPADE,8,2010-05-06 17:22:00,1.25,14156,EIRE,10.0,2010,2010-05,2010-05-01"
"526754,21025,SPACE FROG,1,2010-10-13 10:17:00,1.25,17604,United Kingdom,1.25,2010,2010-10,2010-10-01"
"495527,20754,RETRO RED SPOTTY WASHING UP GLOVES,6,2010-01-25 14:50:00,2.1,15611,United Kingdom,12.6,2010,2010-01,2010-01-01"
"536556,35961,FOLKART ZINC HEART CHRISTMAS DEC,12,2010-12-01 14:38:00,0.85,17643,United Kingdom,10.2,2010,2010-12,2010-12-01"
"502779,22138,BAKING SET 9 PIECE RETROSPOT,3,2010-03-26 14:38:00,4.95,16807,United Kingdom,14.85,2010,2010-03,2010-03-01"
"530657,35599D,PINK AND WHITE CHRISTMAS TREE 120CM,3,2010-11-04 10:13:00,2.95,12933,United Kingdom,8.850000000000001,2010,2010-11,2010-11-01"
"522089,85066,CREAM SWEETHEART MINI CHEST,1,2010-09-12 12:41:00,12.75,16387,United Kingdom,12.75,2010,2010-09,2010-09-01"
"521908,22505,MEMO BOARD COTTAGE DESIGN,2,2010-09-09 12:58:00,4.95,15972,United Kingdom,9.9,2010,2010-09,2010-09-01"
"523000,22156,HEART DECORATION WITH PEARLS,12,2010-09-19 15:59:00,0.85,13842,United Kingdom,10.2,2010,2010-09,2010-09-01"
"523967,47590B,PINK HAPPY BIRTHDAY BUNTING,2,2010-09-26 13:25:00,5.45,16008,United Kingdom,10.9,2010,2010-09,2010-09-01"
"500336,21222,SET/4 BADGES BEETLES,5,2010-03-07 13:48:00,1.25,17589,United Kingdom,6.25,2010,2010-03,2010-03-01"
"535684,22917,HERB MARKER ROSEMARY,12,2010-11-28 12:49:00,0.65,16359,United Kingdom,7.800000000000001,2010,2010-11,2010-11-01"
"502820,21655,HANGING RIDGE GLASS T-LIGHT HOLDER,24,2010-03-28 11:07:00,1.69,14849,United Kingdom,40.56,2010,2010-03,2010-03-01"
"507435,84832,ZINC WILLIE WINKIE  CANDLE STICK,12,2010-05-10 07:59:00,0.85,15661,United Kingdom,10.2,2010,2010-05,2010-05-01"
"512419,85068,CREAM SWEETHEART SHELF + HOOKS,1,2010-06-15 14:00:00,7.95,15768,United Kingdom,7.95,2010,2010-06,2010-06-01"
"516950,22569,FELTCRAFT CUSHION BUTTERFLY,1,2010-07-25 15:38:00,3.75,13276,United Kingdom,3.75,2010,2010-07,2010-07-01"
"533004,85152,HAND OVER THE CHOCOLATE   SIGN,2,2010-11-15 15:03:00,2.1,17231,United Kingdom,4.2,2010,2010-11,2010-11-01"
"511325,21899,""KEY FOB , GARAGE DESIGN"",24,2010-06-08 08:50:00,0.65,13771,United Kingdom,15.6,2010,2010-06,2010-06-01"
"510838,22430,ENAMEL WATERING CAN CREAM,4,2010-06-04 08:50:00,4.95,17438,United Kingdom,19.8,2010,2010-06,2010-06-01"
"507735,22355,""CHARLOTTE BAG , SUKI DESIGN"",1,2010-05-11 12:10:00,0.85,17321,United Kingdom,0.85,2010,2010-05,2010-05-01"
"491089,22114,HOT WATER BOTTLE TEA AND SYMPATHY,4,2009-12-09 13:31:00,3.95,14990,United Kingdom,15.8,2009,2009-12,2009-12-01"
"538067,22429,ENAMEL MEASURING JUG CREAM,1,2010-12-09 13:59:00,4.25,15288,United Kingdom,4.25,2010,2010-12,2010-12-01"
"514553,22556,PLASTERS IN TIN CIRCUS PARADE,5,2010-07-05 11:15:00,1.65,14710,United Kingdom,8.25,2010,2010-07,2010-07-01"
"524504,22596,CHRISTMAS STAR WISH LIST CHALKBOARD,12,2010-09-29 12:39:00,0.85,14843,United Kingdom,10.2,2010,2010-09,2010-09-01"
"500329,22228,BUNNY WOODEN PAINTED WITH BIRD,12,2010-03-07 12:56:00,0.85,13764,United Kingdom,10.2,2010,2010-03,2010-03-01"
"525129,22851,SET 20 NAPKINS FAIRY CAKES DESIGN,2,2010-10-04 11:44:00,0.85,16400,United Kingdom,1.7,2010,2010-10,2010-10-01"
"525524,82615,PINK MARSHMALLOW SCARF KNITTING KIT,2,2010-10-05 17:55:00,2.95,15750,United Kingdom,5.9,2010,2010-10,2010-10-01"
"538077,20778,GARDEN PATH NOTEBOOK,3,2010-12-09 14:19:00,1.65,14667,United Kingdom,4.949999999999999,2010,2010-12,2010-12-01"
"506604,21232,STRAWBERRY CERAMIC TRINKET BOX,12,2010-04-30 15:23:00,1.25,13317,United Kingdom,15.0,2010,2010-04,2010-04-01"
"521222,21465,PINK FLOWER CROCHET FOOD COVER,1,2010-09-03 10:39:00,3.75,17287,United Kingdom,3.75,2010,2010-09,2010-09-01"
"534066,22274,FELTCRAFT DOLL EMILY,1,2010-11-21 11:28:00,2.95,17920,United Kingdom,2.95,2010,2010-11,2010-11-01"
"496326,85113,POLKA DOT PISTACHIO PAIL,15,2010-01-31 13:28:00,2.1,12483,Sweden,31.5,2010,2010-01,2010-01-01"
"535396,22077,6 RIBBONS RUSTIC CHARM,24,2010-11-26 10:43:00,1.65,12540,Spain,39.6,2010,2010-11,2010-11-01"
"528159,21982,PACK OF 12 SUKI TISSUES,24,2010-10-21 07:48:00,0.29,13081,United Kingdom,6.959999999999999,2010,2010-10,2010-10-01"
"500358,17129C,SKY BLUE COLOUR GLASS GEMS IN BAG,2,2010-03-07 15:47:00,0.85,16534,United Kingdom,1.7,2010,2010-03,2010-03-01"
"506380,85036A,GARDENIA 1 WICK MORRIS BOXED CANDLE,6,2010-04-29 12:19:00,4.25,17222,United Kingdom,25.5,2010,2010-04,2010-04-01"
"518900,22024,RAINY LADIES BIRTHDAY CARD,12,2010-08-12 14:11:00,0.36,15061,United Kingdom,4.32,2010,2010-08,2010-08-01"
"499387,20752,RETRO BLUE SPOTTY WASHING UP GLOVES,4,2010-02-26 12:41:00,2.1,14680,United Kingdom,8.4,2010,2010-02,2010-02-01"
"492773,22197,""POPCORN HOLDER , SMALL"",12,2009-12-18 15:35:00,0.85,13327,United Kingdom,10.2,2009,2009-12,2009-12-01"
"513259,22198,LARGE POPCORN HOLDER,48,2010-06-23 10:53:00,1.65,15785,United Kingdom,79.19999999999999,2010,2010-06,2010-06-01"
"533584,22616,PACK OF 12 LONDON TISSUES,48,2010-11-18 11:44:00,0.29,13102,United Kingdom,13.919999999999998,2010,2010-11,2010-11-01"
"493812,84989A,75 GREEN FAIRY CAKE CASES,24,2010-01-07 11:52:00,0.55,13081,United Kingdom,13.2,2010,2010-01,2010-01-01"
"506223,22359,GLASS JAR KINGS CHOICE,2,2010-04-28 11:54:00,2.95,16461,United Kingdom,5.9,2010,2010-04,2010-04-01"
"507660,82613B,""METAL SIGN,CUPCAKE SINGLE HOOK"",2,2010-05-10 16:44:00,1.25,12675,Italy,2.5,2010,2010-05,2010-05-01"
"504122,82494L,WOODEN FRAME ANTIQUE WHITE,6,2010-04-11 10:30:00,2.95,12916,United Kingdom,17.700000000000003,2010,2010-04,2010-04-01"
"526841,84406B,CREAM CUPID HEARTS COAT HANGER,8,2010-10-13 12:00:00,3.25,16190,United Kingdom,26.0,2010,2010-10,2010-10-01"
"527510,20749,ASSORTED COLOUR MINI CASES,12,2010-10-18 12:50:00,6.35,13854,United Kingdom,76.19999999999999,2010,2010-10,2010-10-01"
"521324,22457,NATURAL SLATE HEART CHALKBOARD,4,2010-09-03 12:21:00,2.95,18109,United Kingdom,11.8,2010,2010-09,2010-09-01"
"489526,POST,POSTAGE,6,2009-12-01 11:50:00,18.0,12533,Germany,108.0,2009,2009-12,2009-12-01"
"501688,84997C,BLUE 3 PIECE MINI DOTS CUTLERY SET,6,2010-03-18 17:04:00,3.75,15738,United Kingdom,22.5,2010,2010-03,2010-03-01"
"501278,21212,PACK OF 72 RETRO SPOT CAKE CASES,3,2010-03-15 14:01:00,0.55,17180,United Kingdom,1.65,2010,2010-03,2010-03-01"
"533968,22279,POCKET BAG BLUE PAISLEY RED SPOT,2,2010-11-19 13:14:00,1.25,13884,United Kingdom,2.5,2010,2010-11,2010-11-01"
"524004,22897,OVEN MITT APPLE DESIGN,1,2010-09-26 16:06:00,1.45,15532,United Kingdom,1.45,2010,2010-09,2010-09-01"
"506992,22382,LUNCH BAG SPACEBOY DESIGN,1,2010-05-05 13:50:00,1.65,15023,United Kingdom,1.65,2010,2010-05,2010-05-01"
"531190,21210,SET OF 72 RETROSPOT PAPER  DOILIES,12,2010-11-05 15:08:00,1.45,12480,Germany,17.4,2010,2010-11,2010-11-01"
"526139,22169,FAMILY ALBUM WHITE PICTURE FRAME,8,2010-10-08 14:38:00,7.65,15694,United Kingdom,61.2,2010,2010-10,2010-10-01"
"529793,22349,DOG BOWL CHASING BALL DESIGN,12,2010-10-29 16:48:00,3.75,16058,United Kingdom,45.0,2010,2010-10,2010-10-01"
"489537,84898F,YELLOW FLOWERS FELT HANDBAG KIT,5,2009-12-01 12:14:00,2.1,14040,United Kingdom,10.5,2009,2009-12,2009-12-01"
"523305,82482,WOODEN PICTURE FRAME WHITE FINISH,3,2010-09-21 12:49:00,2.55,12751,Brazil,7.649999999999999,2010,2010-09,2010-09-01"
"523638,21191,LARGE WHITE HONEYCOMB PAPER BELL,4,2010-09-23 12:01:00,2.1,13097,United Kingdom,8.4,2010,2010-09,2010-09-01"
"529502,22508,DOORSTOP RETROSPOT HEART,1,2010-10-28 14:11:00,3.75,15167,United Kingdom,3.75,2010,2010-10,2010-10-01"
"524322,22111,SCOTTIE DOG HOT WATER BOTTLE,2,2010-09-28 14:33:00,4.95,16710,United Kingdom,9.9,2010,2010-09,2010-09-01"
"498513,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,48,2010-02-19 12:07:00,0.21,17145,United Kingdom,10.08,2010,2010-02,2010-02-01"
"513440,84520B,PACK 20 ENGLISH ROSE PAPER NAPKINS,2,2010-06-24 14:34:00,0.85,14583,United Kingdom,1.7,2010,2010-06,2010-06-01"
"520398,21172,PARTY METAL SIGN,1,2010-08-25 16:11:00,1.45,13713,United Kingdom,1.45,2010,2010-08,2010-08-01"
"513312,51014L,""FEATHER PEN,LIGHT PINK"",12,2010-06-23 15:40:00,0.85,14798,United Kingdom,10.2,2010,2010-06,2010-06-01"
"527374,22423,REGENCY CAKESTAND 3 TIER,2,2010-10-17 12:18:00,12.75,16221,United Kingdom,25.5,2010,2010-10,2010-10-01"
"535799,21826,EIGHT PIECE DINOSAUR SET,1,2010-11-28 14:49:00,1.25,16720,United Kingdom,1.25,2010,2010-11,2010-11-01"
"494442,22232,JIGSAW TOADSTOOLS 3 PIECE,8,2010-01-14 13:02:00,1.65,12644,Germany,13.2,2010,2010-01,2010-01-01"
"512416,22386,JUMBO BAG PINK WITH WHITE SPOTS,20,2010-06-15 13:50:00,1.95,17139,United Kingdom,39.0,2010,2010-06,2010-06-01"
"520192,21819,GLITTER CHRISTMAS STAR,12,2010-08-24 14:46:00,0.85,14766,United Kingdom,10.2,2010,2010-08,2010-08-01"
"528657,85123A,WHITE HANGING HEART T-LIGHT HOLDER,8,2010-10-24 12:44:00,2.95,14277,France,23.6,2010,2010-10,2010-10-01"
"529823,21147,JINGLE BELLS TREE DECORATION,4,2010-10-31 11:39:00,2.1,17609,United Kingdom,8.4,2010,2010-10,2010-10-01"
"495591,22029,SPACEBOY BIRTHDAY CARD,144,2010-01-26 10:25:00,0.36,14646,Netherlands,51.84,2010,2010-01,2010-01-01"
"532095,22294,HEART FILIGREE DOVE  SMALL,5,2010-11-10 16:05:00,1.25,14651,United Kingdom,6.25,2010,2010-11,2010-11-01"
"528084,22422,TOOTHPASTE TUBE PEN,5,2010-10-20 13:00:00,0.65,16898,United Kingdom,3.25,2010,2010-10,2010-10-01"
"490737,20799,PINK MILKSHAKE GLASS,8,2009-12-07 17:18:00,2.1,17270,United Kingdom,16.8,2009,2009-12,2009-12-01"
"490466,85174,S/4 CACTI CANDLES,2,2009-12-06 12:16:00,4.95,17085,United Kingdom,9.9,2009,2009-12,2009-12-01"
"534869,22055,MINI CAKE STAND  HANGING STRAWBERY,8,2010-11-24 14:29:00,1.65,13952,United Kingdom,13.2,2010,2010-11,2010-11-01"
"515012,85049G,CHOCOLATE BOX RIBBONS,3,2010-07-07 16:14:00,1.25,15581,United Kingdom,3.75,2010,2010-07,2010-07-01"
"493964,20677,PINK SPOTTY BOWL,8,2010-01-08 16:29:00,1.25,12714,France,10.0,2010,2010-01,2010-01-01"
"537196,22798,ANTIQUE GLASS DRESSING TABLE POT,1,2010-12-05 13:55:00,2.95,15426,United Kingdom,2.95,2010,2010-12,2010-12-01"
"536520,21111,""SWISS ROLL TOWEL, CHOCOLATE  SPOTS"",1,2010-12-01 12:43:00,2.95,14729,United Kingdom,2.95,2010,2010-12,2010-12-01"
"534347,21143,ANTIQUE GLASS HEART DECORATION,16,2010-11-22 11:52:00,1.95,15024,United Kingdom,31.2,2010,2010-11,2010-11-01"
"512130,20723,STRAWBERRY CHARLOTTE BAG,10,2010-06-14 10:33:00,0.85,14114,United Kingdom,8.5,2010,2010-06,2010-06-01"
"502758,20723,STRAWBERRY CHARLOTTE BAG,100,2010-03-26 13:45:00,0.72,14646,Netherlands,72.0,2010,2010-03,2010-03-01"
"514280,21541,DINOSAURS WATER TRANSFER TATTOOS,12,2010-07-01 11:59:00,0.85,13081,United Kingdom,10.2,2010,2010-07,2010-07-01"
"522987,22110,BIRD HOUSE HOT WATER BOTTLE,2,2010-09-19 14:51:00,2.55,17625,United Kingdom,5.1,2010,2010-09,2010-09-01"
"519932,22673,FRENCH GARDEN SIGN BLUE METAL,2,2010-08-22 16:05:00,1.25,17231,United Kingdom,2.5,2010,2010-08,2010-08-01"
"515508,21843,RED RETROSPOT CAKE STAND,3,2010-07-13 11:49:00,10.95,14870,United Kingdom,32.849999999999994,2010,2010-07,2010-07-01"
"498590,85123A,WHITE HANGING HEART T-LIGHT HOLDER,4,2010-02-21 15:28:00,2.95,13044,United Kingdom,11.8,2010,2010-02,2010-02-01"
"493877,20771,CHRYSANTHEMUM  JOURNAL,6,2010-01-07 19:34:00,2.55,14911,EIRE,15.3,2010,2010-01,2010-01-01"
"521822,20679,EDWARDIAN PARASOL RED,9,2010-09-09 10:37:00,5.95,12714,France,53.55,2010,2010-09,2010-09-01"
"511556,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,288,2010-06-09 10:02:00,0.18,17511,United Kingdom,51.84,2010,2010-06,2010-06-01"
"512123,85099B,JUMBO BAG RED RETROSPOT,20,2010-06-13 15:57:00,1.95,15808,United Kingdom,39.0,2010,2010-06,2010-06-01"
"517275,22413,METAL SIGN TAKE IT OR LEAVE IT,6,2010-07-28 10:21:00,2.95,15228,United Kingdom,17.700000000000003,2010,2010-07,2010-07-01"
"503932,20728,LUNCH BAG CARS BLUE,1,2010-04-08 13:45:00,1.65,14562,United Kingdom,1.65,2010,2010-04,2010-04-01"
"523374,22026,BANQUET BIRTHDAY  CARD,12,2010-09-21 19:10:00,0.36,17850,United Kingdom,4.32,2010,2010-09,2010-09-01"
"534213,84987,SET OF 36 TEATIME PAPER DOILIES,2,2010-11-21 15:58:00,1.45,16710,United Kingdom,2.9,2010,2010-11,2010-11-01"
"529833,85049C,ROMANTIC PINKS RIBBONS,2,2010-10-31 12:32:00,1.25,16791,United Kingdom,2.5,2010,2010-10,2010-10-01"
"536975,22909,SET OF 20 VINTAGE CHRISTMAS NAPKINS,24,2010-12-03 14:04:00,0.85,14911,EIRE,20.4,2010,2010-12,2010-12-01"
"512433,21915,RED  HARMONICA IN BOX,12,2010-06-15 15:23:00,1.25,15926,United Kingdom,15.0,2010,2010-06,2010-06-01"
"534220,22561,WOODEN SCHOOL COLOURING SET,12,2010-11-21 16:14:00,1.65,15114,United Kingdom,19.8,2010,2010-11,2010-11-01"
"529094,21868,POTTING SHED TEA MUG,2,2010-10-26 13:44:00,1.25,13578,United Kingdom,2.5,2010,2010-10,2010-10-01"
"492537,21485,RED SPOT HEART HOT WATER BOTTLE,3,2009-12-17 13:15:00,4.95,16560,United Kingdom,14.85,2009,2009-12,2009-12-01"
"511040,22084,PAPER CHAIN KIT EMPIRE,4,2010-06-06 11:20:00,2.95,14878,United Kingdom,11.8,2010,2010-06,2010-06-01"
"525764,22650,CERAMIC PIRATE CHEST MONEY BANK,12,2010-10-07 10:39:00,1.45,12511,Greece,17.4,2010,2010-10,2010-10-01"
"497885,85184D,S/4 BLUE ROUND DECOUPAGE BOXES,6,2010-02-14 12:06:00,2.95,15093,United Kingdom,17.700000000000003,2010,2010-02,2010-02-01"
"506130,21670,BLUE SPOT CERAMIC DRAWER KNOB,12,2010-04-27 14:44:00,1.25,16011,United Kingdom,15.0,2010,2010-04,2010-04-01"
"492737,21755,LOVE BUILDING BLOCK WORD,4,2009-12-18 12:21:00,5.95,17243,United Kingdom,23.8,2009,2009-12,2009-12-01"
"490478,20975,12 PENCILS SMALL TUBE RED SPOTTY,1,2009-12-06 12:42:00,0.65,14896,United Kingdom,0.65,2009,2009-12,2009-12-01"
"524969,84970L,SINGLE HEART ZINC T-LIGHT HOLDER,288,2010-10-01 14:38:00,0.79,14646,Netherlands,227.52,2010,2010-10,2010-10-01"
"530304,46000M,POLYESTER FILLER PAD 45x45cm,10,2010-11-02 13:15:00,1.55,17003,United Kingdom,15.5,2010,2010-11,2010-11-01"
"533496,21754,HOME BUILDING BLOCK WORD,1,2010-11-17 13:42:00,5.95,17768,United Kingdom,5.95,2010,2010-11,2010-11-01"
"496882,22327,ROUND SNACK BOXES SET OF 4 SKULLS,1,2010-02-04 14:13:00,2.95,15167,United Kingdom,2.95,2010,2010-02,2010-02-01"
"510150,22383,LUNCH BAG SUKI  DESIGN,20,2010-05-27 13:10:00,1.65,13093,United Kingdom,33.0,2010,2010-05,2010-05-01"
"501031,21094,SET/6 RED SPOTTY PAPER PLATES,24,2010-03-11 17:41:00,0.85,16718,United Kingdom,20.4,2010,2010-03,2010-03-01"
"506361,20725,LUNCH BAG RED SPOTTY,10,2010-04-29 12:04:00,1.65,14961,United Kingdom,16.5,2010,2010-04,2010-04-01"
"490127,84375,SET OF 20 KIDS COOKIE CUTTERS,12,2009-12-03 18:13:00,1.95,14156,EIRE,23.4,2009,2009-12,2009-12-01"
"511025,21925,UNION STRIPE CUSHION COVER,2,2010-06-06 09:49:00,1.25,17377,United Kingdom,2.5,2010,2010-06,2010-06-01"
"498091,21713,CITRONELLA CANDLE FLOWERPOT,8,2010-02-16 12:35:00,2.1,14639,United Kingdom,16.8,2010,2010-02,2010-02-01"
"522987,21232,STRAWBERRY CERAMIC TRINKET BOX,6,2010-09-19 14:51:00,1.25,17625,United Kingdom,7.5,2010,2010-09,2010-09-01"
"525083,21929,JUMBO BAG PINK VINTAGE PAISLEY,4,2010-10-03 15:48:00,1.95,14415,United Kingdom,7.8,2010,2010-10,2010-10-01"
"536408,21210,SET OF 72 RETROSPOT PAPER  DOILIES,12,2010-12-01 11:41:00,1.45,14307,United Kingdom,17.4,2010,2010-12,2010-12-01"
"531375,22458,CAST IRON HOOK GARDEN FORK,8,2010-11-07 15:52:00,2.55,18277,United Kingdom,20.4,2010,2010-11,2010-11-01"
"496330,20727,LUNCH BAG  BLACK SKULL.,10,2010-01-31 13:42:00,1.65,14306,United Kingdom,16.5,2010,2010-01,2010-01-01"
"503331,22382,LUNCH BAG SPACEBOY DESIGN,10,2010-03-31 12:16:00,1.65,16212,United Kingdom,16.5,2010,2010-03,2010-03-01"
"522994,85099B,JUMBO BAG RED RETROSPOT,100,2010-09-19 15:37:00,1.65,18064,United Kingdom,165.0,2010,2010-09,2010-09-01"
"502887,47566B,TEA TIME PARTY BUNTING,400,2010-03-29 11:28:00,3.75,16754,United Kingdom,1500.0,2010,2010-03,2010-03-01"
"525303,22699,ROSES REGENCY TEACUP AND SAUCER,6,2010-10-05 09:58:00,2.95,15955,United Kingdom,17.700000000000003,2010,2010-10,2010-10-01"
"515484,21156,RETROSPOT CHILDRENS APRON,1,2010-07-13 10:25:00,1.95,17994,United Kingdom,1.95,2010,2010-07,2010-07-01"
"518508,22198,LARGE POPCORN HOLDER,24,2010-08-09 14:26:00,1.65,12412,Denmark,39.6,2010,2010-08,2010-08-01"
"530383,22086,PAPER CHAIN KIT 50'S CHRISTMAS,30,2010-11-02 17:02:00,2.95,12412,Denmark,88.5,2010,2010-11,2010-11-01"
